Code Cegid;Historique
ASE;
DEFIM;"<strong>11/09/2017 ELODIE S</strong>&nbsp;:&nbsp;point avec Mr Cronne suite aux problèmes de corrosion. Toujours des alertes corrosion : la dernière provenant d'un équipementier PSA basé en Espagne. Mr Cronne a également observé des pièces corrodées dans l'atelier. Proposition d'analyse de surface de 2 lots de pièces.<br />
<br />
<strong>26/07/2017 JACQUES G</strong> :<span style=""font-family: &quot;Verdana&quot;,sans-serif; font-size: 8pt; mso-fareast-language: EN-US; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-bidi-font-family: &quot;Times New Roman&quot;; mso-ansi-language: FR; mso-bidi-language: AR-SA;""> tests corrosion copeaux fonte sur papier filtre réalisés par Elodie sur bains de lavage et de rinçage de la MAL&nbsp;: le bain de lavage qui a 3 jours est corrosif&nbsp;(cotation 3) ?</span><br />
<br />
<strong>20/07/2017 ELODIE S</strong>&nbsp;:&nbsp;visite suite à un nouveau problème de corrosion chez PSA Sochaux : proposition d'utiliser des housses F(H) car pièces chaudes en sortie séchage et les housses peuvent rester ouvertes plus de 48h (week-end) et rappel sur les 2h de saturation des VCI, point qu'il lui était inconnu. Voir CRV&nbsp;<br />
<br />
<strong>16/05/2017 JEROME V</strong>&nbsp;:&nbsp;Point téléphonique avec M. Cronne. Pas de nouvelles alertes corrosion depuis cet envoi de mi décembre. Les contacts qualité PSA basés à PLIP n'arrivent pas à avoir d'informations complémentaires pour M. Cronne. Avant cette expé, de nombresues autres sans problèmes. Proposition à M. Cronne de demander un relevé de l'eau pour Novembre, Décembre et Janvier afin de voir la qualité de l'eau utilisée. Le problème est sûrement autre car environ 50% des pièces concernées. Donc étonnant. Les pièces ont été envoyées avant les fêtes en France et sont arrivées en Chine lors du&nbsp;Nouvel an chinois. Il est donc possible que ces pièces soient restées plus de temps sur les ports, .... A suivre. M. Cronne doit me recontacter dès réception des relevés d'eau ou en cas d'un autre problème<br />
<br />
<strong>12/05/2017 JACQUES G</strong>&nbsp;:&nbsp;point tél avec M. Cronne : attend appel de Jérôme mardi prochain : souhaite prix du ruban adhésif informatif VCI<br />
<strong>28/04/2017 JACQUES G</strong>&nbsp;:&nbsp;ouverture d'une NC corrosion 313<br />
<strong>25/04/2017 JACQUES G</strong>&nbsp;:&nbsp;tél M. Cronne pour point : messagerie<br />
<strong>14/04/2017 JACQUES G</strong>&nbsp;:&nbsp;vu M. Cronne et M. Genin pour point sur pb corrosion Chine - voir CRV<br />
<strong>07/04/2017 JACQUES G</strong>&nbsp;:&nbsp;proposition de visite le 14/04<br />
<strong>05/04/2017 JACQUES G</strong>&nbsp;:&nbsp;M. Cronne nous signale qu'il a un pb de corrosion sur des pièces expédiées vers Cheng Du China<br />
Font partie de la branche Stamping d'Altia avec les sites de La Souterraine, Bessines et Beaucourt<br />
<br />
CA 2013&nbsp;: 12 494 €&nbsp;&nbsp;&nbsp; 2014 : 11 785 €&nbsp;&nbsp;&nbsp; 2015 : 5 893 €&nbsp;&nbsp;&nbsp; 2016 : 7 574 €<br />
<br />
Mettre l'acheteuse : Mme Leroux en copie des mails importants relatifs à des soucis corrosion de Defi Meaux<br />
&nbsp;"
ABBMO;
ABB;
ACH;
ENC;
ACIM;"<strong>26/04/2017 JACQUES G</strong>&nbsp;:&nbsp;tél M. Rouchonnat pour savoir comment se déroulent les essais avec nos échantillons : laissé message tél<br />
<strong>20/04/2017 JACQUES G</strong>&nbsp;:&nbsp;arrivée des échantillons de film étirable VCI et de formats VCI pour essais banderolage<br />
<strong>06/04/2017 JACQUES G</strong>&nbsp;:&nbsp;vu MM Rouchonnat et Legrand pour présentation Acobal et étude d'un condi vers Tanger avec du film étirable<br />
<strong>31/03/2017 JACQUES G</strong>&nbsp;:&nbsp;appel de M. Rouchonnat pour du film étirable VCI : OK pour me recevoir le 06/04<br />
<br />
&nbsp;"
ACIV;
ACIERI;"<strong>27/03/2017 JACQUES G</strong>&nbsp;:&nbsp;tél M. Chif : parti depuis 2012 : voir M. Moulard absent ce jour : faire mail<br />
<br />
&nbsp;"
ADB;
ADY;
AEDS;"<strong>17/05/2016&nbsp;GERALDINE D&nbsp;:</strong>&nbsp;Réception de la note qualité pour 2015 : 20/20 et agrément reconduit pour 2016 - courrier enregistré sous Clients JM<br />
<strong>22/10/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;achètent pour Baccarat Précision<br />
<br />
AEDS gère : AEds Distribution Service 28 Dreux 15p (distribution) ; Baccarat Pécision 54 Baccarat 53p (usinages roues pistons freins) ; AEds Technologie 51 Witry 27p (fabrication réservoirs aéro) ; BD 74 Bonneville 12p (fixations décolletées) ; BD 83 Soliès Pont 26p (fixations matricées) ; AEds Hydro Méca 94 Fontenay sous Bois 36p (usinage au micron)<br />
<br />
CA 2011 : 1 460 €&nbsp;&nbsp;&nbsp; 2012 : 3 555 €&nbsp;&nbsp;&nbsp; 2013 : 1 825 €&nbsp;&nbsp;&nbsp; 2014 : 2 385 €&nbsp;&nbsp;&nbsp; 2015 : 3 732 €&nbsp;&nbsp;&nbsp; 2016 : 4 462 €<br />
&nbsp;"
AFC;"<strong>28/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu MM Gicquel, Legrand Baert pour un point rapide avant la réunion LFA du 05/10 voir CRV<br />
<strong>23/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél M. Gicquel pour proposition de point avant réunion avec Sence et Mansuy : OK pour le mercredi 28/09 à&nbsp;partir de 16h30 - faire point sur V510 ,&nbsp;F(H) et papier en Rlx<br />
<strong>17/08/2016&nbsp;JACQUES G&nbsp;: </strong>pb corrosion de pièces AFC qui arrivent chez JTEKT Torsen Strepy Bracquegnies : voir Mme Catalano&nbsp;<br />
<strong>03/11/2015&nbsp;ELODIE S&nbsp;:</strong>&nbsp;appel Mr Baert afin de faire un point sur ma proposition de l'échantillonner suite visite du 22/10. IL revient&nbsp; vers moi d'ici 15 jours.<br />
<strong>22/10/2015&nbsp;ELODIE S&nbsp;:</strong>&nbsp;Visite suite nouveaux cas de corrosion : voir CRV dans rapport<br />
<strong>04/12/2014 JACQUES G :</strong> visite M. Gicquel + M. Thomas (housses à fond plat / robot) + M. Legrand pour point et prise en compte besoin housse / robot<br />
<br />
AFC appartient au groupe LFA, SED, FONDATEX, LFA ESPANA, MECAFOR SERBIE: attention pour la cohérence des prix<br />
<br />
Avril 2014 : Mr Vehert quitte la société AFC : Mme Vallée, assistante qualité et Mr Baert , responsable méthodes, deviennent nos nouveaux interlocuteurs<br />
<br />
CA 2011 : 50 171 €&nbsp;&nbsp;&nbsp; 2012 : 59 718 €&nbsp;&nbsp;&nbsp; 2013 : 77 945 €&nbsp;&nbsp;&nbsp; 2014 : 67 589 €&nbsp;&nbsp;&nbsp; 2015 : 55 532 €&nbsp;&nbsp;&nbsp; 12dm : 45 265 €"
