GEFCO STRATEGIE ET FINANCE;77 - 81, Des Lilas d'Espagne;92402;Courbevoie;1;6;1062
CEGID;52, quai Paul Sédaillan;69279;LYON Cedex 9;1;6;1318
TOTAL E&P CONGO;;;;72;3;2829
APIS;12, cité des SourcesN°47, rue Khoudjet el Djeld;;BIR MOURAD RAIS ALGER   ALGERIE;13;14;2760
SONANGOL P&P;Torres AtlanticoAvenida 4 de Fevereiro, N°197 Marginal;;Luanda;35;3;2771
TOTAL E&P ANGOLA;R. Rainha Ginga;;LUANDA;35;14;2649
ADENCO N.V.;Generaal de Wittelaan L7b;B-2800;Mechelen;2;8;14
AJK NV;"Industriegebied ""Kettingbrug""Kettingbrugweg 38";B-3950;Bocholt;2;8;19
ALIDOR CLAEYS NV;Ruddervoortsestraat 38;B-8210;Zedelgem;2;8;22
ANGLO BELGIAN CORPORATION NV;Wiedauwkaai 43;B-9000;Gent;2;8;35
ANL PLASTICS NV;Hertenstraat 32;B-3830;Wellen;2;8;37
BOMBARDIER TRANSPORT NV;Vaartdijkstraat, 5;B-8000;Brugge;2;8;110
BOSAL BENELUX NV;Nijverheidsstraat 12;B-2260;Oevel;2;8;113
BOSCH NV;;B-3900;Tienen;2;8;115
CASE NEW HOLLAND NV * CNH;Leon Claeysstraat 3 A;B-8210;Zedelgem;2;8;143
CORNELIS PLASTICS NV;Industrieweg 12;B-2850;Boom;2;8;212
CORUS ALUMINIUM NV;A. Stocletlaan 87;B-2570;Duffel;2;8;214
DAF TRUCK NV;Van Doornelaan 1;B-2260;Westerlo;2;8;222
DEFAWES N .V.;Industrieweg 112-114;B-9032;Wondelgem;2;8;239
DOVRE NV;Nijverheidsstraat 18;B-2380;Ravels - Weelt;2;8;257
FORD MOTOR COMPANY;Henry Fordlaan 8;B-3600;Genk;2;8;352
HMZ NV;Schurhovenveld;B-3800;Sint-Truiden;2;8;438
KALMAR BELGIUM NV/SA;;B-2030;Antwerpen;2;8;485
M.C. WATTEEUW N.V.;Kampveldstraat 51;B-8020;Oostkamp;2;8;530
MGG-ANTWERPEN;Lage Weg 390;B-2660;Hoboken;2;8;599
NV BEKAERT SA;Bekaertstraat 2;B-8550;Zwevegem;2;8;646
OMCO INTERNATIONAL NV;IndustrieparkVenecolaan 10;B-9880;Aalter;2;8;656
ROPA NV;Kasteelstraat 37;B-8980;Geluveld;2;8;765
SCANIA PARTS LOGISTICS NV;Bedrijfsstraat 1208;B-3660;Opglabbeek;2;8;792
TOWER AUTOMOTIVE NV;Belgicastraat 5;B-9000;Gent;2;8;948
TWINPLAST NV;Wolvenstraat 14;B-2861;O.L.Vr. Waver;2;8;965
TYCO ELECTRONICS BELGIUM NV;Siemenslaan 14;B-8020;Oostkamp;2;8;967
VAN DER WIELE NV;Michel Vanderwielestraat 7;B-8760;Marke (Kortrijk);2;8;991
VAN LEEUWEN BUIZEN BELGIE;Scharbeeklei 189;B-1800;Vilvoorde;2;8;997
VITALO NV;Bruggesteenweg 7;B-9041;Meulebeke;2;8;1019
VOLVO PARTS GENT;Smalleheerweg 29;B-9041;Oostakker;2;8;1024
IPB N.V.;Steenovenstraat 30;B-8790;Waregem;2;8;1106
ALLARD EUROPE NV;Veedijk 51;B-2300;Turnhout;2;8;1159
COOLS PARTS NV;Remi Claeysstraat 29;B-8210;Zedelgem;2;8;1160
VARIAPACK;Wijgmaalsesteenweg 6;B-3012;Wilsele;2;8;1166
SCANIA PARTS LOGISTICS;Bedrijfsstraat 1208;B-3660;Opglabbeek;2;8;1167
ADVANCED LABEL TECHNOLOGIES;Bergensesteenweg - 423ATA Businesspark - Gebouw 6;B-1600;Sint-Pieters-Leeuw;2;8;1198
ALLIED LABEL TECHNOLOGIES;Bergensesteenweg - 423ATA Businesspark - Gebouw 6;B-1600;Sint-Pieters-Leeuw;2;8;1225
TOYOTA MOTOR EUROPE NV/SA;Toyota Parts Centre EuropeIndustrieterrein 11;B-3290;Diest;2;8;1293
AURUBIS BELGIUM NV/SA;Watertorenstraat, 35;B-2250;Olen;2;8;1295
TENNECO NV;Avenue du Bourgetlaan 50;B-1130;Brussel;2;8;1321
MALMAR NV;Eddastraat 41;B-9042;Gent;2;8;1344
CASE NEW HOLLAND NV * CNH;Wilmarsdonksteenweg 32;B-2030;Antwerpen;2;8;1366
EXMAR OFFSHORE SERVICES;;;;2;8;1376
VOESTALPINE SADEF NV;Bruggesteenweg 60;8830;Gits;2;8;1475
DEFENSIE LA DÉFENSE;Kwartier Koningin ElisabethEvertsestraat 1;B-1140;Evere;2;8;1648
VDC ROESELARE NV;Rumbeeksesteenweg 279;8800;Roeselare;2;8;1662
FORMDRILL;Hospitaalstraat, 103;B-3582;BERINGEN;2;8;1757
CPI CONSULTING;;;;2;8;1828
SURFACE TTREATMENT COMPANY NV;Industriezone Schurhovenveld 4077;3800;Sint-Truiden;2;8;1835
AC-ATEL ELECTRONICS;Place Thomas Balis 3;B-1160;BRUSSELS;2;8;2042
FLIDAR;Esplanadestraat 1,;8400;Ooestende;2;8;2359
YMA FE COATINGS NV;Meiveldlaan 1133;3800;Sint Truiden;2;8;2436
AROP VZW;Dynamicalaan 9;2610;WILRIJK;2;8;2621
HTMS NV;Blarenberglaan 5;2800;Mechelen;2;8;2669
SAPA PRECISION TUBING LICHTERVELDE NV;;;;2;8;2822
CONTINENTAL CORPORTATION;Chassis and Safety, plant MechelenGeneraal De Wittelaan 5;2800;Mechelen;2;8;2848
TPL TRANSPORT & PROJECT LOGISTICS;Hovesteenweg 13;2530;Boechout;2;8;2891
AUDI BRUSSEL NV;;B-1190;FOREST;2;17;76
DUFERCO CLABECQ NV;Rue de Clabecq 101;B-1440;Ittre;2;17;262
NMC SA;Rovert 10;B-4370;Raeren/Eynatten;2;17;633
BROWNING CUSTOM SHOP;Voie de Liège, 33;B-4040;HERSTAL;2;17;1210
FORGES DE COURCELLES SITE DE COURCELLES *MECA STAMP;50, rue du Progrès;B-6180;COURCELLES;2;17;1244
INSTITUT BELGE DE L'EMBALLAGE SPRL;Z.I. Research Park 280;B-1731;Zellik;2;17;1378
DOOSAN INFRACORE EUROPE;Rue Achille Degrace, 1A;B-7080;FRAMERIES;2;17;1526
SOLAR TURBINES EUROPE;rue des Etats-Unis, 1;B-6041;GOSSELIES;2;17;1527
CAPAUL SA;Industriestrasse, 39;B-4700;EUPEN;2;17;1553
VERVLOET;rue de la Borne, 78;1080;BRUXELLES (Molenbeek-St-Jean);2;17;1574
T.D. WILLIAMSON * WILLIAMSON;rue du Travail, 6;B-1400;NIVELLES;2;17;1647
METAL SERVICE INTERNATIONAL;rue Bernifalouche, 8;B-6832;SENSENRUTH (BOUILLON);2;17;1764
ENDECO;rue de Bruxelles, 355;B-1480;TUBIZE;2;17;1780
DELTA SERVICES INDUSTRIELS * DSI * D.S.I.;Rue du Mont d'Orcq, 3;B-7503;FROYENNES;2;17;1976
FONDERIE FALLAIS;chaussée de Waremme, 123;B-4530;VILLERS-LE-BOUILLET;2;17;2187
SONACA;Route Nationale 5;6041;GOSSELIES;2;17;2233
MUSTAD SA;Industriestrasse,30;B-4070;EUPEN;2;17;2240
ARCELOR MITTAL RINGMILL;Zone Industrielle CMI - SERAINGavenue Greinier, 1;B-4100;SERAING;2;17;2448
FILAME BRUSSELS SA;Z.I. NIVELLES NORDavenue Robert SCHUMAN, 85;B-1400;NIVELLES;2;17;2546
ALPHA-PRIME SA;Bld du Général Wahis, 20;B-1030;BRUXELLES;2;17;2748
OVERDRIVE RACING;rue de l'Industrie, 1;B-4530;VILLERS-LE-BOUILLET;2;17;2775
SAG INDUSTRIES;rue de Fontenoille, 17;B-6820;SAINTE-CECILE;2;17;2798
FN CARTOUCHERIE HERSTAL;Voie de Liège, 33;B-4040;HERSTAL;2;17;2834
ROXELL NV;Industrielaan 13;B-9990;Maldegem;2;14;1474
